word,instances
אמר,35586
לא,28833
רב,17591
ליה,16127
אלא,15026
רבי,13249
על,11562
את,10240
ולא,9550
אין,9543
הוא,9175
מאי,9056
אומר,9054
כל,8659
לו,8622
בר,8205
לה,7480
ר',7420
של,7287
יהודה,7183
נמי,6833
הא,6710
דאמר,6141
אי,6101
בן,5997
אבל,5762
כי,5714
משום,5323
מה,5226
זה,5217
עד,4952
או,4854
יוחנן,4801
היא,4759
שלא,4659
א"ל,4516
אחד,4430
מן,4424
לי,4422
דלא,4321
הכי,4267
אם,4249
רבא,4128
להו,4019
בין,3769
אף,3728
לאו,3717
א"ר,3627
לך,3591
בו,3453
בה,3433
מי,3375
אינו,3373
יוסי,3300
שאין,3261
והא,3255
דכתיב,3210
שנאמר,3140
הכא,3038
אדם,2874
דרב,2824
הוה,2809
קא,2796
אחת,2780
חייב,2777
ואין,2754
ישראל,2752
הרי,2667
רבנן,2657
סבר,2609
שמעון,2594
אימא,2576
אביי,2573
ואמר,2563
עליו,2557
איכא,2479
שמואל,2472
אפילו,2416
התם,2407
זו,2366
אלעזר,2345
דבר,2341
דתניא,2339
ואם,2332
בית,2305
אמרו,2263
ואי,2251
האי,2246
דברי,2221
הונא,2192
תנא,2189
כאן,2179
ה',2158
היה,2132
טעמא,2120
מפני,2106
שני,2086
כיון,2073
יש,2062
קרא,2055
אחר,2040
כוכבים,2007
מר,2001
רבה,1979
יום,1950
נחמן,1950
דמי,1947
אשי,1945
עליה,1902
קשיא,1887
יוסף,1885
אסור,1883
יהושע,1862
מהו,1857
ביה,1851
בני,1835
קאמר,1795
כתיב,1769
אליעזר,1759
אל,1757
אומרים,1749
פפא,1742
תניא,1720
ורבי,1714
יצחק,1682
אבא,1655
אותו,1650
לעולם,1627
אשר,1620
לרב,1613
וכי,1602
דרבי,1601
פטור,1563
אני,1559
ת"ל,1527
להם,1526
הוי,1526
בהן,1525
אתה,1517
מותר,1514
בעי,1513
רחמנא,1488
אמרת,1486
לומר,1463
שנים,1458
הן,1458
למה,1446
יכול,1414
מעשה,1410
מאיר,1400
תורה,1398
חסדא,1396
שמע,1395
בריה,1395
היכי,1388
אמרי,1385
חייא,1383
היו,1382
ההוא,1368
שהוא,1364
קתני,1356
דלמא,1349
אלו,1332
דאמרי,1330
גבי,1326
כדי,1323
ת"ר,1323
ואחד,1309
חד,1300
וכל,1298
בעל,1291
וגו',1286
איש,1285
לפני,1284
כך,1283
מקום,1283
חנינא,1275
הלכה,1272
מינה,1268
אשה,1267
צריך,1266
קמ"ל,1264
בשלמא,1261
מיניה,1260
שאני,1256
לן,1231
ישמעאל,1228
שם,1222
כגון,1214
שתי,1213
שכן,1208
דאי,1204
דתנן,1203
היינו,1194
אתא,1185
חוץ,1183
הני,1178
וכן,1171
מאן,1168
שיש,1166
לאחר,1150
ביום,1146
הכל,1145
תנן,1131
דין,1125
בשבת,1125
פליגי,1123
חטאת,1118
בא,1106
ואת,1096
בת,1094
כרבי,1090
בהמה,1086
וכו',1071
מ"ט,1067
